SPECTRUM - MS,
QC_2.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-40,
RT: 0.01-1.97,
AV: 40,
m/z,Intensity

62.496,464.6
62.4989,104.7
62.4997,128.9
62.5104,111.5
62.5271,297.4
62.5273,274.5
62.5492,104.6
62.5695,78.3
62.5965,82.2
62.6072,314
62.6084,141.8
62.6146,458.2
62.6252,109.6
62.6269,381.1
62.6282,189.4
62.6519,580.9
62.6685,478
62.6824,87.1
62.6938,75.3
62.6997,198.8
62.7106,851.7
62.724,273.2
62.7373,89.4
62.765,122.7
62.7734,316.8
62.7775,123.1
62.7792,160.5
62.7827,113.5
62.7835,106.4
62.8177,79
62.8427,185.7
62.8473,126.4
62.8482,793.5
62.851,813.2
62.8523,92.1
62.8527,82.3
62.8553,287.6
62.861,324.5
62.8651,286
62.876,142.5
62.8838,20.1
62.8989,279.1
62.9235,232.2
62.9256,205.6
62.9418,420.5
62.9455,805
62.9488,166.6
62.9742,185.5
62.9867,453.5
62.9923,112.1
63.0034,126.1
63.0047,187.6
63.0353,403.7
63.0731,149
63.0749,168.2
63.0797,17.1
63.0956,14.6
63.0959,16.5
63.0999,250.8
63.1106,243.9
63.1228,532
63.1252,18.5
63.1546,97.6
63.1554,217.8
63.162,333.4
63.1718,134.1
63.1809,276.7
63.1838,18.2
63.1867,170.1
63.2085,84.5
63.2253,330.7
63.2271,243.5
63.2285,18.3
63.2322,195.5
63.2449,403.2
63.2463,82.9
63.275,448.9
63.2799,339.1
63.2906,935.8
63.2912,18
63.2924,486.9
63.2991,376
63.3038,221.8
63.3119,414.4
63.343,114.9
63.3448,295.9
63.3584,134.2
63.3656,291.8
63.3823,130.8
63.3884,867.2
63.394,292.9
63.3985,529.2
63.4076,318.6
63.426,274.5
63.4398,69.6
63.4633,436.5
63.5264,476.7
63.5618,153
63.5623,106.5
63.5686,84.5
63.5834,116.8
63.5984,465.8
63.6175,27.8
63.6236,154.4
63.6367,192.5
63.6561,255.7
63.6641,89.5
63.6879,20.6
63.7145,137.2
63.7347,463.7
63.7362,18.7
63.7508,507.2
63.7731,401.1
63.7999,86.6
63.812,96.7
63.8132,264.9
63.83,95
63.8368,283.4
63.8564,353.8
63.8786,153.8
63.8791,309.7
63.8927,439
63.897,181.6
63.8991,258.7
63.9173,233.7
63.9491,19.3
63.9556,127.6
63.966,742.7
63.9795,354.3
63.9849,541.8
63.9976,471.7
63.9994,349.8
64.0181,471.9
64.0333,120.8
64.0431,225.6
64.0525,130.7
64.0575,16.2
64.0592,90.2
64.0657,474.5
64.1038,269.5
64.1161,105
64.1164,93.8
64.1268,261.6
64.1284,122
64.1632,174.6
64.1646,72.2
64.171,16.1
64.172,17.2
64.1923,183.2
64.1977,597.1
64.1991,333.8
64.2021,23.6
64.2354,79.6
64.253,519.3
64.2602,515.9
64.2621,98.3
64.2885,91.3
64.2912,15
64.2943,349.4
64.3021,97.3
64.324,169.1
64.3266,611.7
64.3329,86.7
64.3761,613.2
64.3813,295.7
64.3888,182.5
64.4015,324.6
64.4147,530.6
64.4425,170.6
64.4433,539.7
64.4486,103.2
64.456,157.4
64.4603,15.9
64.4679,122.9
64.4706,635.5
64.4752,30
64.4778,566.3
64.4857,165.9
64.4948,132.9
64.5046,16.8
64.5147,107.1
64.527,106.9
64.5351,18.3
64.5477,226.2
64.5514,580.4
64.5527,256.2
64.5631,269
64.5887,434.1
64.6018,657.1
64.603,479.2
64.6306,155.9
64.639,448.9
64.6768,304.9
64.6874,231.5
64.7123,312
64.7156,136.6
64.7164,208.6
64.7188,653.2
64.7205,193.8
64.7259,72.3
64.728,313.4
64.7286,330.5
64.7562,91.1
64.7585,183.6
64.7641,136.2
64.7669,506.9
64.7708,308.9
64.7724,137
64.7827,110.8
64.7869,1428.6
64.7915,129.3
64.8305,161.6
64.834,342.5
64.8472,84.9
64.8624,72
64.8669,75.6
64.889,187.4
64.8908,231.4
64.8916,261.4
64.8983,266.7
64.934,239.2
64.9351,115.9
64.9584,19.3
64.9643,152.5
64.9799,119.8
64.9896,151.7
64.9947,525
65.0125,209.9
65.0218,16.6
65.0452,123.5
65.0482,123.6
65.049,106.8
65.0836,163
65.1253,622.6
65.1273,371.8
65.1475,116.8
65.1677,123.8
65.1861,15.9
65.2047,18.4
65.2087,820.8
65.2093,186.3
65.2216,224.3
65.2893,581.5
65.3418,472.6
65.366,252.6
65.3796,520.9
65.3837,93
65.3852,651.1
65.4444,16.9
65.4529,210.7
65.4562,121.5
65.4657,802.2
65.4916,101.8
65.4923,126.6
65.5067,68.1
65.5255,309.8
65.5286,15.7
65.5333,299.8
65.5595,242.5
65.5608,152.1
65.5644,19.3
65.6048,352.4
65.6131,241.3
65.6279,444.2
65.6389,17.9
65.6392,22.5
65.6393,18.1
65.6772,323.3
65.6993,84.1
65.7053,180.3
65.7072,17.4
65.7147,387.3
65.7156,83.9
65.72,646.2
65.727,618.2
65.7347,392.7
65.749,375.9
65.7621,383.7
65.8096,291.9
65.8142,223.1
65.8191,173.9
65.8414,523.9
65.8604,648.7
65.8721,662.6
65.8725,129.4
65.8926,84.6
65.8958,125
65.9019,636.5
65.9098,157.4
65.9319,266.6
65.9345,110.3
65.9491,220.8
65.9679,350.5
65.9736,114.3
66.0228,115.3
66.0378,17.5
66.0401,331.9
66.0435,95.3
66.0487,251.1
66.052,18.3
66.0673,98.9
66.0889,145.8
66.0947,565.9
66.1036,526.4
66.1133,146.4
66.1142,143.8
66.1229,97.1
66.1385,483.6
66.158,125.3
66.1793,281.5
66.1875,236.4
66.1911,648.2
66.2046,88
66.2141,685.9
66.2221,324.8
66.2579,79
66.2712,27.6
66.2714,28.9
66.2727,573.4
66.2807,96.3
66.2836,339.2
66.2861,80.9
66.3086,315.7
66.3311,95.4
66.3399,15.8
66.3409,149.4
66.3485,19
66.3521,16.8
66.3543,20.1
66.3557,103
66.3887,280.3
66.3915,672.2
66.4105,14.4
66.4196,561.2
66.4225,357.3
66.4302,151.4
66.441,90.2
66.451,525.4
66.4792,114.2
66.4842,103.3
66.5138,16.9
66.5254,129.5
66.5311,492
66.5377,264.9
66.5465,108.7
66.5489,145.4
66.5699,231
66.633,184
66.6457,110.3
66.6559,121.9
66.6715,162.6
66.6721,167.6
66.6792,539.3
66.6815,16.7
66.6944,90.8
66.6997,77.7
66.7185,356.3
66.7328,584.9
66.7373,143.9
66.7595,589.2
66.7752,96
66.8007,141.1
66.8017,382.6
66.8119,168.8
66.816,356.5
66.8235,258.4
66.8244,183
66.8305,131.4
66.854,17.2
66.8876,15.7
66.9031,550.2
66.9227,166.8
66.9255,81.4
66.9265,81.8
66.9485,21.2
66.9497,87.5
66.9891,177.2
66.9926,206.1
67.0016,391.5
67.0132,510.9
67.0205,293.5
67.0352,206.4
67.0383,107.4
67.0477,93.9
67.0538,20.7
67.0824,306.4
67.1204,119.6
67.1315,229.7
67.1321,15.4
67.1554,288.2
67.1603,191.6
67.1903,185.9
67.1954,307.4
67.2101,519.9
67.2353,111.6
67.2462,16.1
67.2469,111.5
67.2674,488.9
